pharmacy|药房；配药学，药剂学；制药业；一批备用药品
orifice|[机] 孔口
auditory|听众；礼堂 adj. 听觉的；耳朵的
implicate|使卷入；涉及；暗指；影响
progeny|子孙；后裔；成果
synonym|同义词；同义字
doctrinaire|教条主义的；空谈理论的 n. 教条主义者；空论家，纯理论家
coy|腼腆的；忸怩作态的；怕羞的 vi. 忸怩作态 vt. 爱抚 n. (Coy)人名；(法)库瓦；(英、德、西)科伊
discretion|自由裁量权；谨慎；判断力；判定；考虑周到
somnolent|催眠的，想睡的
rapprochement|友好；恢复邦交；友善关系的建立
compunction|悔恨，后悔；内疚
acquiesce|默许；勉强同意
scrupulous|细心的；小心谨慎的；一丝不苟的
resilient|弹回的，有弹力的
vibration|振动；犹豫；心灵感应
replica|复制品，复制物
devious|偏僻的；弯曲的；不光明正大的
cacophonous|粗腔横调的；发音不和谐的
dauntless|无畏的；勇敢的；不屈不挠的
prudent|谨慎的；精明的；节俭的 n. (Prudent)人名；(法)普吕当
cylinder|圆筒；汽缸；[数] 柱面；圆柱状物
beneficent|慈善的；善行的
vehement|激烈的，猛烈的；热烈的
period|周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
scribe|抄写员；作家；划线器 v. 写下，记下；用划线器划
thesis|论文；论点
ambrosial|特别美味的；芬香的
prankster|爱开玩笑的人；顽皮的人；恶作剧的人
sound|听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地
crest|[物] 波峰；冠；山顶；顶饰 v. 到达绝顶；形成浪峰
simile|明喻；直喻
neutron|[核] 中子
abomination|厌恶；憎恨；令人厌恶的事物
christen|为…命名；为…施洗礼 n. (Christen)人名；(法、德、西、丹、挪)克里斯滕；(英)克里森
exorbitant|（要价等）过高的；（性格等）过分的；不在法律范围之内的
acreage|面积，英亩数
hurricane|飓风，暴风
hirsute|多毛的；[昆] 有粗毛的
arrant|极恶的；声名狼藉的；彻头彻尾的
glycerol|[有化] 甘油；丙三醇
clairvoyance|千里眼；异常的洞察力
telepathy|心灵感应；传心术
inspire|激发；鼓舞；启示；产生；使生灵感
censor|审查，检查；检查和删节 n. 检查员；[心理] 潜意识压抑力；信件检查员
profile|侧面；轮廓；外形；剖面；简况 v. 描…的轮廓；扼要描述
reactor|[化工] 反应器；[核] 反应堆；起反应的人
contrition|痛悔；悔悟
unilateral|单边的；[植] 单侧的；单方面的；单边音；（父母）单系的
vernal|春天的；和煦的；青春的
condensation|冷凝；凝结；压缩；缩合聚合
callow|年轻而无经验的；羽毛未丰的 n. (Callow)人名；(英)卡洛
fluent|流畅的，流利的；液态的；畅流的
cabinet|内阁；橱柜；展览艺术品的小陈列室 adj. 内阁的；私下的，秘密的
approval|批准；认可；赞成
avocation|副业；业余爱好；嗜好
precession|岁差（等于precession of the equinoxes）；先行；优先
coincidence|巧合；一致；同时发生
arboreal|树木的；栖息在树上的
exploit|开发，开拓；剥削；开采 n. 勋绩；功绩
unit|单位，单元；装置；[军] 部队；部件
misadventure|灾难；不幸遭遇
nationality|国籍，国家；民族；部落
valedictory|告别的 n. 告别辞
usage|使用；用法；惯例
cleanliness|清洁
gossamer|蛛丝；薄纱；小蜘蛛网 adj. 轻飘飘的；薄弱的
purgatory|炼狱；涤罪；暂时的苦难 adj. 涤罪的（等于purgative）
felonious|凶恶的；重罪的；极恶的
melodrama|情节剧；音乐剧；耸人听闻的事件，闹剧
trapezoid|[数] 梯形；[数] 不规则四边形 adj. 梯形的；[数] 不规则四边形的
deficit|赤字；不足额
dissimilar|不同的
brokerage|佣金；回扣；中间人业务
fracture|破裂，断裂；[外科] 骨折 v. 破裂；折断
modest|谦虚的，谦逊的；适度的；端庄的；羞怯的 n. (Modest)人名；(罗)莫代斯特；(德)莫德斯特；(俄)莫杰斯特
vaporize|蒸发
prolix|冗长的；说话啰嗦的
spectroscope|[光] 分光镜
elocutionist|演说家；雄辩家；朗诵者
jocular|爱开玩笑的；打趣的；滑稽的
focus|焦点；中心；清晰；焦距 v. 使集中；使聚焦
unused|不用的；从未用过的
betrothal|订婚；婚约
setback|挫折；退步；逆流
stimulant|[药] 兴奋剂；刺激物；酒精饮料 adj. 激励的；使人兴奋的
dwindle|减少；变小
greedy|贪婪的；贪吃的；渴望的
slender|细长的；苗条的；微薄的
outcast|流浪的人；被驱逐的人 adj. 被遗弃的；无家可归的；被逐出的
curtail|缩减；剪短；剥夺…特权等
logical|合逻辑的，合理的；逻辑学的
transact|交易；谈判
amenable|有责任的：顺从的，服从的；有义务的；经得起检验的
utilize|利用
educe|引出；演绎；使显出
loathe|讨厌，厌恶
foment|煽动；挑起；热敷
judicious|明智的；头脑精明的；判断正确的
straightforward|简单的；坦率的；明确的；径直的 adv. 直截了当地；坦率地
anarchy|无政府状态；混乱；无秩序
polarization|极化；偏振；两极分化
emancipate|解放；释放
funnel|漏斗；烟囱 v. 通过漏斗或烟囱等；使成漏斗形
miscreant|异端的；邪道的；极恶的 n. 异端；恶棍；罪大恶极之人
parentage|出身；亲子关系；门第；起源
torpid|迟钝的，迟缓的；不活泼的；麻痹的；[生物] 蛰伏的
galvanize|镀锌；通电；刺激
pandemic|（疾病等）（全国、全球i）流行的；普遍的 n. 流行性疾病
antonym|[语] 反义词
gusto|爱好；由衷的高兴；嗜好
zealot|狂热者；犹太教狂热信徒
lifelong|终身的
gibber|喋喋而言；胡扯 n. 三棱石；无法听懂的话
furrow|皱纹；犁沟；车辙 v. 犁；耕；弄绉
mirror|镜子；真实的写照；榜样 v. 反射；反映
sardonic|讽刺的；嘲笑的，冷笑的
ravenous|贪婪的；渴望的；狼吞虎咽的
remorseless|冷酷的；不知过错的；坚持不懈的；不屈不挠的
chloroplast|[植] 叶绿体
balk|障碍；错误 v. 阻止；推诿；错过
penetrate|渗透；穿透；洞察
cache|电脑高速缓冲存储器；贮存物；隐藏处 v. 隐藏；窖藏
bale|包；捆；灾祸；不幸 v. 将打包
nurture|养育；鼓励；培植 n. 养育；教养；营养物
levity|多变；轻浮；轻率；不稳定
practicable|可用的；行得通的；可实行的
transplant|移植；迁移；使移居 n. 移植；移植器官；被移植物；移居者
leg|腿；支柱
omnipresent|无所不在的
nickel|镍；镍币；五分镍币 v. 镀镍于
bland|乏味的；温和的；冷漠的 vt. 使…变得淡而无味；除掉…的特性 vi. 变得平淡无奇；丧失特性 n. (Bland)人名；(英)布兰德
overleap|越过；跳过；忽略
fractious|易怒的；倔强的，难以对待的
carbohydrate|[有化] 碳水化合物；[有化] 糖类
lethal|致命的，致死的 n. 致死因子
radar|[雷达] 雷达，无线电探测器
remote|遥远的；偏僻的；疏远的 n. 远程
chord|弦；和弦；香水的基调
explode|爆炸，爆发；激增
commonplace|老生常谈；司空见惯的事；普通的东西 adj. 平凡的；陈腐的
synchronous|同步的；同时的
deceive|欺骗；行骗
antibiotics|[药] 抗生素；抗生学
parochial|教区的；狭小的；地方范围的
status|地位；状态；情形；重要身份
herald|预兆，征兆；先驱；传令官；报信者 v. 通报；预示…的来临
literature|文学；文献；文艺；著作
limitation|限制；限度；极限；追诉时效；有效期限；缺陷
biography|传记；档案；个人简介
insensible|昏迷的；无知觉的；麻木不仁的
endurable|能忍耐的；可忍受的；能持久的
preparatory|预备的 n. 预科；预备学校
wavelength|[物] 波长
statue|雕像，塑像 vt. 以雕像装饰
barren|贫瘠的；不生育的；无益的；沉闷无趣的；空洞的 n. 荒地
transitory|短暂的，暂时的；瞬息的
presentiment|预感
unkempt|蓬乱的，不整洁的；（言语等）粗野的
legislate|用立法规定；通过立法
barrel|把……装入桶内 n. 桶；枪管，炮管
output|输出，输出量；产量；出产 v. 输出
antemundane|世界形成前的
delineate|描绘；描写；画…的轮廓
ferocious|残忍的；惊人的
laudable|值得赞赏的
anticyclone|反气旋，反旋风；高气压
manometer|压力计；[流] 测压计；血压计
convert|使转变；转换…；使…改变信仰 n. 皈依者；改变宗教信仰者
desertification|（土壤）荒漠化；沙漠化（等于desertization）
proscribe|剥夺……的公权；禁止
solution|解决方案；溶液；溶解；解答
modicum|少量，一点点
beatify|行宣福礼；使享福
transfigure|使变形；使改观；美化；理想化
veneer|外表；虚饰；饰面；胶合板的一层；薄木片 v. 胶合；虚饰；给…镶以饰片
devoid|缺乏的；全无的
affair|事情；事务；私事；（尤指关系不长久的）风流韵事
carnivore|[动] 食肉动物；食虫植物
pellucid|透明的；清晰的；明了的
blase|玩厌了的，厌烦于享乐的 n. (Blase)人名；(德)布拉泽；(法)布拉斯
transverse|横向的；横断的；贯轴的 n. 横断面；贯轴；横肌
veracious|诚实的；真实的
coalescence|合并；联合；接合
purport|声称；意图；意指；打算 n. 意义，主旨；意图
participate|参与，参加；分享
ceremonious|隆重的；讲究仪式的；正式的
unspeakable|无法形容的；不能以言语表达的；坏透了的
anachronism|时代错误；不合潮流的人或物
abnormal|反常的，不规则的；变态的
pressure|压力；压迫，[物] 压强 v. 迫使；密封；使……增压
palpable|明显的；可感知的；易觉察的
excerpt|摘录，引用 v. 引用，摘录
aerial|空中的，航空的；空气的；空想的 n. [电讯] 天线
embarrass|使局促不安；使困窘；阻碍
kinsfolk|亲属；家属
regimen|[医] 养生法；生活规则；政体；支配
calvinism|加尔文主义；加尔文教派
ampere|安培（计算电流强度的标准单位）
coil|盘绕，把…卷成圈 n. 线圈；卷
hesitation|犹豫
berth|卧铺；停泊处，锚位；差事 v. 使……停泊；为……提供铺位
evict|驱逐；逐出
punitive|惩罚性的；刑罚的
ebb|衰退；退潮；衰落 v. 衰退；减少；衰落；潮退
revelation|启示；揭露；出乎意料的事；被揭露的真相
triumph|胜利，凯旋；欢欣 v. 获得胜利，成功
oblivious|遗忘的；健忘的；不注意的；不知道的
principal|主要的；资本的 n. 首长；校长；资本；当事人
spider|蜘蛛；设圈套者；三脚架
tremor|[医] 震颤；颤动
frantic|狂乱的，疯狂的
conduit|[电] 导管；沟渠；导水管
pyre|火葬用的柴堆
duplicity|口是心非；表里不一；不诚实
conflagration|大火；快速燃烧；突发；冲突
supplicant|恳求者，乞求者
tutorship|辅导；教师职位
capitulate|认输，屈服；屈从，停止反抗；有条件投降；让步
despotic|暴虐的，暴君的；专横的
withstand|抵挡；禁得起；反抗
stringent|严格的；严厉的；紧缩的；短缺的
jubilation|喜欢；庆祝；欢呼
ratio|比率，比例
persuade|说服，劝说；使某人相信；劝某人做（不做）某事 adj. 空闲的，有闲的
upbraid|责骂；训斥
appendage|附加物；下属；[动][解剖] 附器（如植物的枝叶和动物的腿尾）
averse|反对的；不愿意的
senator|参议员；（古罗马的）元老院议员；评议员，理事
ingratiate|使迎合；使讨好；使逢迎
exuberant|繁茂的；生气勃勃的，充溢的
perjure|作伪证；使发伪誓；使破坏誓言
nude|裸的，裸体的；无装饰的；与生俱有的 n. 裸体；裸体画
peak|山峰；最高点；顶点；帽舌 v. 使达到最高点；使竖起 adj. 最高的；最大值的
reprieve|缓期执行；暂时解救 n. 暂缓；缓刑
ignominious|可耻的；下流的
midway|中途；娱乐场 adj. 中途的 adv. 中途
affluence|富裕；丰富；流入；汇聚
emaciated|瘦弱的；憔悴的 v. 憔悴；消瘦下去（emaciate的过去分词）
aqueduct|[水利] 渡槽；导水管；沟渠
collage|抽象拚贴画（用报纸、布、压平的花等碎片拼合而成的） vt. 把…创作成拼贴画，拼贴
unveil|使公之于众，揭开；揭幕
disastrous|灾难性的；损失惨重的；悲伤的
vestige|遗迹；残余；退化的器官
tabulate|平板状的；有平面的 v. 使成平面；把…制成表格
needlework|刺绣，缝纫；女红的作品
fraternal|兄弟般的；友好的
commemorate|庆祝，纪念；成为…的纪念
repine|抱怨；不满
unanimous|全体一致的；意见一致的；无异议的
alienate|使疏远，离间；让与
unscrupulous|肆无忌惮的；寡廉鲜耻的；不讲道德的
volume|量；体积；卷；音量；大量；册 adj. 大量的 vi. 成团卷起 vt. 把…收集成卷
debase|降低；使…贬值；掺杂 n. (Debase)人名；(意)德巴塞
precede|领先，在…之前；优于，高于
disagreeable|不愉快的；厌恶的；不为人喜的；难相处的；脾气坏的
heinous|可憎的；极凶恶的
distressed|痛苦的；忧虑的；贫困的；受损的 v. 使痛苦；使紧张；使困苦（distress的过去分词）
expression|表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
successor|继承者；后续的事物
counselor|顾问；法律顾问；参事（等于counsellor）
supplicate|恳求，哀求；恳请
ossify|骨化；硬化；僵化
ablution|洗礼；洗澡（常用复数）；斋戒沐浴
balance|平衡；余额；匀称 v. 使平衡；结算；使相称
propagate|传播；传送；繁殖；宣传
approximately|大约，近似地；近于
sufficiency|足量，充足；自满
collide|碰撞；抵触，冲突
squalid|肮脏的；污秽的；卑劣的
distillation|精馏，蒸馏，净化；蒸馏法；精华，蒸馏物
superb|极好的；华丽的；宏伟的 n. (Superb)人名；(罗)苏佩尔布
contemptible|可鄙的；卑劣的；可轻视的
breakdown|故障；崩溃；分解；分类；衰弱；跺脚曳步舞
accountant|会计师；会计人员
colloquial|白话的；通俗的；口语体的
impale|刺穿；钉住；使绝望
reclusive|隐居的；隐遁的
jingoism|侵略主义；沙文主义；武力外交政策
ratify|批准；认可
collier|矿工；运煤船
brooch|（女用的）胸针，领针
bemoan|惋惜；为…恸哭
arguable|可论证的；可议的；可疑的
nitrogen|[化学] 氮
legislative|立法的；有立法权的 n. 立法权；立法机构
workmanlike|技术熟练的；精工细作的
multiplication|[数] 乘法；增加
natal|出生的；诞生的；分娩的；出生地的 n. (Natal)人名；(英、法、西、葡)纳塔尔
redirect|使改方向；重新寄送 adj. 再直接的 n. 再直接询问
catholicism|天主教；天主教义
defendant|辩护的；为自己辩护的 n. 被告
abnegate|放弃；舍弃；禁忌
treacherous|奸诈的，叛逆的，背叛的；危险的；不牢靠的
parallel|平行线；对比 v. 使…与…平行 adj. 平行的；类似的，相同的
diameter|直径
uniform|统一的；一致的；相同的；均衡的；始终如一的 n. 制服 v. 使穿制服；使成一样
abdomen|腹部；下腹；腹腔
stimulate|刺激；鼓舞，激励
nadir|最低点，最底点；[天] 天底
indefinitely|不确定地，无限期地；模糊地，不明确地
replicate|复制；折叠 adj. 复制的；折叠的 n. 复制品；八音阶间隔的反覆音
discriminate|歧视；区别；辨别
foretell|预言；预示；预告
irate|生气的；发怒的
curmudgeon|脾气坏的人，乖戾的人；吝啬鬼；存心不良的人
endue|授予，赋予；穿上
numerical|数值的；数字的；用数字表示的（等于numeric）
extol|颂扬；赞美；赞颂
olfactory|嗅觉的；味道的 n. 嗅觉器官
electrolyte|电解液，电解质；电解
fabulous|难以置信的；传说的，寓言中的；极好的
choir|唱诗班；合唱队；舞蹈队 v. 合唱
ruinous|破坏性的，毁灭性的；零落的
aborigine|土著；土著居民
hundredth|第一百的；一百分之一的 n. 第一百，第一百个；百分之一
intriguing|有趣的；迷人的 v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）
acerbity|酸，涩；刻薄
sympathetic|同情的；交感神经的；共鸣的；赞同的；和谐的；合意的 n. 交感神经；容易感受的人
swerve|转弯；突然转向；背离 n. 转向；偏离的程度
whim|奇想；一时的兴致；怪念头；幻想
determinate|确定的；决定的 vt. 确定；弄清楚
coagulate|使…凝结
capillary|毛细管 adj. 毛细管的；毛状的
biped|有两足的 n. 两足动物
supplant|代替；排挤掉
tenacious|顽强的；坚韧的；固执的；紧握的；黏着力强的
laser|激光
effervescent|冒泡的，沸腾的；兴奋的
assuage|平息；缓和；减轻
occupant|居住者；占有者
gene|[遗] 基因，遗传因子
frigid|寒冷的，严寒的；冷淡的
recreant|懦夫；叛徒 adj. 胆小的；怯懦的；不忠的
pompous|自大的；浮夸的；华而不实的；爱炫耀的
theorem|[数] 定理；原理
antiquary|古文物研究者；古董商人；收集古文物者
clothier|衣庄；呢绒商
dormancy|[生物] 休眠，冬眠；[生物] 蛰伏
exoskeleton|[昆] 外骨骼
geometry|几何学
impetus|动力；促进；冲力
bronchus|支气管
glamorize|美化；使有魅力
proliferate|增殖；扩散；激增
absolve|免除；赦免；宣告…无罪
bethink|想起，忆起；使……思考；使……考虑
amplitude|振幅；丰富，充足；广阔
antiquate|废弃；使…过时；使…具有古旧形式或风格 adj. 过时的；旧式的
series|系列，连续；[电] 串联；级数；丛书
condenser|冷凝器；[电] 电容器；[光] 聚光器
desultory|断断续续的；散漫的；不连贯的，无条理的
interval|间隔；间距；幕间休息
pernicious|有害的；恶性的；致命的；险恶的
caste|（印度社会中的）种姓；（具有严格等级差别的）社会地位；（排他的）社会团体
principle|原理，原则；主义，道义；本质，本义；根源，源泉
inspiring|鼓舞人心的；灌输的；启发灵感的 v. 鼓舞；激发；使感悟（inspire的ing形式）
adjustment|调整，调节；调节器
animadvert|批判；非难；责备
withdraw|撤退；收回；撤消；拉开
extortion|勒索；敲诈；强夺；被勒索的财物
amorphous|无定形的；无组织的；[物] 非晶形的
semiannual|一年两次的；半年一次的
realism|现实主义；实在论；现实主义的态度和行为
vagabond|流浪的；流浪者的；浪荡的；漂泊的 n. 流浪者；浪子；流氓；懒汉 v. 到处流浪
immune|免疫的；免于……的，免除的 n. 免疫者；免除者
subsequent|后来的，随后的
indiscreet|轻率的；不慎重的
homage|敬意；尊敬；效忠
outcome|结果，结局；成果
valorous|勇敢的；勇武的
irritable|过敏的；急躁的；易怒的
apposition|并置，同格；同位语
beguile|欺骗；使着迷；轻松地消磨
amorous|多情的；恋爱的；热情的；色情的
overrun|泛滥成灾；超出限度 v. 泛滥；超过；蹂躏
amok|狂乱地；杀人狂地 adj. 杀人狂的；狂乱的
commingle|使混合；掺和
dismiss|解散；解雇；开除；让离开；不予理会、不予考虑
cacophony|刺耳的音调；不和谐音
atom|原子
prowess|英勇；超凡技术；勇猛
selective|选择性的
recreate|娱乐；消遣
wearisome|使疲倦的；使厌倦的；乏味的
abrade|擦伤；磨损
lethargy|昏睡；死气沉沉；嗜眠（症）
politic|精明的；有策略的；狡猾的；审慎的；政治的 vi. 拉选票
armada|（西班牙的）无敌舰队
incessant|不断的；不停的；连续的
humiliate|羞辱；使…丢脸；耻辱
niggardly|小气的；很少量的 adv. 小气地；很少量地
conciliatory|安抚的；调和的；调停的
ration|配给；定量供应 n. 定量；口粮；配给量
velvety|天鹅绒般柔软的；醇和的，可口的
preposterous|荒谬的；可笑的
pious|虔诚的；敬神的；可嘉的；尽责的
flag|标记；衰退；枯萎 n. 标志；旗子
liquid|液体的；清澈的；明亮的；易变的 n. 液体，流体；流音
permanent|永久的，永恒的；不变的 n. 烫发（等于permanent wave）
plethora|过多；过剩；[医] 多血症
bibliomania|藏书癖；（尤指珍本书）收藏狂
vociferous|大声叫的；喊叫的，喧嚷的
adjunct|附属物；助手；修饰语 adj. 附属的
transpire|发生；蒸发；泄露
hemorrhage|[病理] 出血（等于haemorrhage）；番茄汁 v. [病理] 出血
gravity|重力，地心引力；严重性；庄严
utilitarian|功利的；功利主义的；实利的 n. 功利主义者
acquiescence|默许；默从
frivolous|无聊的；轻佻的；琐碎的
polytechnic|各种工艺的；综合技术的 n. 工艺学校；理工专科学校
demise|死亡，终止；转让；传位 vt. 遗赠；禅让
pantomime|哑剧；舞剧；手势 v. 打手势；演哑剧
shroud|寿衣；覆盖物；船的横桅索；[电] 护罩 v. 覆盖；包以尸衣
eccentric|古怪的，反常的 n. 古怪的人
laud|赞美；称赞 n. 赞美；称赞；颂歌
betimes|及时，准时；早
suspect|嫌疑犯 adj. 可疑的；不可信的 v. 怀疑；猜想
bilingual|双语的 n. 通两种语言的人
recluse|隐士；隐居者 adj. 隐居的
subjacent|在底下的；在下级的
studious|用功的；热心的；专心的；故意的；适于学习的
begrudge|羡慕，嫉妒；吝惜，舍不得给
judicature|司法；法官；司法权；法官的职位
gullible|易受骗的；轻信的
facsimile|传真；复写 adj. 复制的 v. 传真；临摹
violation|违反；妨碍，侵害；违背；强奸
jade|翡翠；[宝] 碧玉；老马 adj. 玉制的；绿玉色的 v. 疲倦
transition|过渡；转变；[分子生物] 转换；变调
whet|刺激；磨快；促进 n. 磨；开胃物；刺激物
section|截面；部分；部门；地区；章节 v. 被切割成片；被分成部分
lave|洗；沐浴；冲刷 n. 剩余物
witling|玩弄小聪明的人
embezzle|盗用；挪用；贪污
absorb|吸收；吸引；承受；理解；使…全神贯注
cessation|停止；中止；中断
kudos|荣誉；名望；称赞
influx|流入；汇集；河流的汇集处
summary|简易的；扼要的 n. 概要，摘要，总结
chattel|动产；奴隶（常用复数）
tangential|[数] 切线的，[数] 正切的；离题的，扯远的 n. 正切，切线
reclamation|开垦；收回；再利用；矫正
socialize|使社会化；使社会主义化；使适应社会生活
comport|行为；举动
unsettle|使动摇；使不安定；使心神不宁
misstep|失足；过失；踏错；失策 vi. 失足；走上歧途
hexagon|六角形，六边形 adj. 成六角的；成六边的
urgency|紧急；催促；紧急的事
felicity|幸福；快乐；幸运
infinitesimal|无穷小的；无限小的；极小的 n. 无限小；极微量；极小量
reprehend|申斥；指责 n. 责备
subsidize|资助；给与奖助金；向…行贿
antiquarian|古文物研究的；古文物的 n. 古文物研究者；[古] 古文物收藏家
panacea|灵丹妙药；万能药
cordial|热忱的，诚恳的；兴奋的 n. 补品；兴奋剂；甜香酒，甘露酒
amass|积聚，积累
option|[计] 选项；选择权；买卖的特权
exhale|呼气；发出；发散；使蒸发
volatile|[化学] 挥发性的；不稳定的；爆炸性的；反复无常的 n. 挥发物；有翅的动物
bronchitis|[内科] 支气管炎
contend|竞争；奋斗；斗争；争论
entreaty|恳求；乞求
nebulous|朦胧的；星云的，星云状的
bight|海湾，绳圈；曲线
momentous|重要的；重大的
catalog|[图情][计] 目录；登记 v. 登记；为…编目录
cell|细胞；电池；蜂房的巢室；单人小室 vi. 住在牢房或小室中
moo|发出哞哞声 n. 牛叫声
severely|严重地；严格地，严厉地；纯朴地
pedal|踩踏板；骑车 n. 踏板；脚蹬子 adj. 脚的；脚踏的
quietus|解除；偿清；生命的终止；寂灭
importunate|强求的，纠缠不休的
salutary|有益的，有用的；有益健康的
aberration|失常；离开正路，越轨
inestimable|无价的；难以估计的
insatiable|贪得无厌的；不知足的
shrewd|精明的；狡猾的；机灵的 n. 精明（的人）；机灵（的人）
sensational|轰动的；耸人听闻的；非常好的；使人感动的
assurance|保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
frank|坦白的，直率的；老实的 n. 免费邮寄特权 v. 免费邮寄
juxtapose|并列；并置
data|数据（datum的复数）；资料
recapture|夺回；拿回；再体验；政府征收再经历 n. 夺回；取回；政府对公司超额收益或利润的征收
alleged|所谓的；声称的；被断言的 v. 宣称（allege的过去式和过去分词）；断言
witness|证人；目击者；证据 v. 目击；证明；为…作证
entrance|入口；进入 v. 使出神，使入迷
reprehensible|应斥责的；应该谴责的
browbeat|恫吓，吓唬；欺侮
explicate|说明，解释
vivacity|活泼；快活；精神充沛
cabal|阴谋（尤指政治上的）；阴谋集团 v. 策划阴谋
equation|方程式，等式；相等；[化学] 反应式
perspicacity|洞察力；聪颖；睿智
nuance|细微差别
electrification|电气化；带电；充电
proton|[物] 质子
bedaub|俗气地装饰；涂污
beneficence|慈善；善行；捐款
terminus|终点；终点站；界标；界石
presage|预感；前兆 v. 预感；预言
territorial|领土的；区域的；土地的；地方的 n. 地方自卫队士兵
navigate|驾驶，操纵；使通过；航行于
posthumous|死后的；遗腹的；作者死后出版的
brag|吹牛，自夸 v. 吹牛，自夸
brae|斜坡；山坡
credence|信任；凭证；祭器台（等于credence table，credenza）
stifle|扼杀；使窒息；藏匿 n. （马等的）后膝关节；（马等的）[动] 后膝关节病
transmute|使变形；使变质
pertinacity|顽固；执拗
altercation|争执
essence|本质，实质；精华；香精
oversee|监督；审查；俯瞰；偷看到，无意中看到
bray|叫；捣碎 n. 驴叫声；喇叭声
inborn|天生的；先天的
blandishment|奉承；谄媚；哄诱
impropriety|不适当；不正确；用词错误；[审计] 不正当行为
contemptuous|轻蔑的；侮辱的
mirage|海市蜃楼；幻想，妄想
exhilarate|使高兴，使振奋；使愉快
emanate|放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散
expand|扩张；使膨胀；详述
hydroxide|[无化] 氢氧化物；羟化物
indigenous|本土的；土著的；国产的；固有的
incipient|初期的；初始的；起初的；发端的
collapse|倒塌；瓦解；暴跌 n. 倒塌；失败；衰竭
boisterous|喧闹的；狂暴的；猛烈的
maintenance|维护，维修；保持；生活费用
alternative|供选择的；选择性的；交替的 n. 二中择一；供替代的选择
venal|贪污的；用金钱买得的；贿赂的；贪赃枉法的 n. (Venal)人名；(英)维纳尔
emerge|浮现；摆脱；暴露
inalterable|不变的；不能变更的
concupiscence|强烈的邪欲
mediocre|普通的；平凡的；中等的
prosaic|平凡的，乏味的；散文体的
comparative|比较的；相当的 n. 比较级；对手
repel|击退；抵制；使厌恶；使不愉快
commensurate|相称的；同量的；同样大小的
overdose|配药过量；使过分沉溺 n. 药量过多（等于overdosage）
solace|安慰；慰藉；安慰之物 v. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）
clumsy|笨拙的
liquor|酒，含酒精饮料；溶液；液体；烈酒 vi. 喝酒，灌酒 vt. 使喝醉
harangue|长篇大论；高谈阔论；热烈的演说 v. 向…滔滔不绝地演讲；大声训斥
weight|重量，重力；负担；砝码；重要性 v. 加重量于，使变重
density|密度
stratagem|策略；计谋
perception|知觉；[生理] 感觉；看法；洞察力；获取
transience|短暂；无常；顷刻（等于transiency）
carcass|（人或动物的）尸体；残骸；（除脏去头备食用的）畜体
impassive|冷漠的；无感觉的
phlegmatic|冷淡的；迟钝的；冷漠的
pyromania|放火狂；纵火癖
withhold|保留，不给；隐瞒；抑制
elliptical|椭圆的；省略的
galore|丰富地 adj. 丰富的；大量的
bumptious|傲慢的；瞎自夸的
pedestrian|徒步的；缺乏想像力的 n. 行人；步行者
nefarious|邪恶的；穷凶极恶的；不法的
pillory|给…上颈手枷；使…惹人嘲笑 n. 示众；颈手枷；使惹人嘲笑
incisive|深刻的；敏锐的；锋利的
aspirant|有抱负的人；野心家 adj. 上进的；有野心的
injurious|有害的；诽谤的
ameliorate|改善；减轻（痛苦等）；改良
scarcity|不足；缺乏
illusion|幻觉，错觉；错误的观念或信仰
humid|潮湿的；湿润的；多湿气的
proclamation|公告；宣布；宣告；公布
gloat|幸灾乐祸；心满意足地注视 n. 幸灾乐祸；贪婪的盯视；洋洋得意
vortex|[航][流] 涡流；漩涡；（动乱，争论等的）中心；旋风
vogue|时尚；流行，时髦 adj. 时髦的，流行的
admonition|警告
cholera|[内科] 霍乱
cohesive|凝聚的；有结合力的；紧密结合的；有粘着力的
cadence|节奏；韵律；抑扬顿挫
elude|逃避，躲避
omnipotent|无所不能的；全能的；有无限权力的
hackneyed|陈腐的；平庸的 v. 出租（马匹、马车等）；役使（hackney的过去式）
coagulant|[建][化工] 促凝剂；凝血剂；凝结剂
reverent|虔诚的；恭敬的；尊敬的
sinister|阴险的；凶兆的；灾难性的；左边的
dilatory|拖拉的；缓慢的，不慌不忙的
aggregate|集合；聚集；合计 n. 合计；集合体；总计 adj. 聚合的；集合的；合计的
preponderate|（在重量、数量、力量等方面）占优势
altitude|高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
perceptive|感知的，知觉的；有知觉力的
obstruct|妨碍；阻塞；遮断
discountenance|使丢脸；不赞成；使慌张 n. 不赞成
center|中心，中央；中锋；中心点 v. 居中，被置于中心 adj. 中央的，位在正中的
ether|乙醚；[有化] 以太；苍天；天空醚
advisory|咨询的；顾问的；劝告的 n. 报告；公告
behold|看；注视；把视为 int. 瞧；看呀
prerogative|特权 adj. 有特权的
